window_label,anchored_qualified_assets,assets_with_cross_session_return,assets_with_pre_completion_return,assets_with_post_completion_return,assets_with_strict_rewatch,assets_with_both_pre_and_post_return,post_completion_return_not_strict_rewatch,pre_share_of_cross_session_return_assets,post_share_of_cross_session_return_assets,strict_rewatch_share_of_post_return_assets
BASELINE_90,348905,182925,56715,153930,151073,27720,2857,0.3100,0.8415,0.9814
FINAL_90,337280,92598,44561,57775,56492,9738,1283,0.4812,0.6239,0.9778
