window_label,eligible_profiles,profiles_denom_ge_1,share_profiles_denom_ge_1,profiles_denom_ge_3,share_profiles_denom_ge_3,profiles_denom_ge_5,share_profiles_denom_ge_5,profiles_denom_ge_10,share_profiles_denom_ge_10,median_known_denominator,p25_known_denominator,p75_known_denominator,p90_known_denominator,mean_rewatch_14d_rate_denom_ge_1,median_rewatch_14d_rate_denom_ge_1,mean_rewatch_14d_rate_denom_ge_3,median_rewatch_14d_rate_denom_ge_3,mean_rewatch_14d_rate_denom_ge_5,median_rewatch_14d_rate_denom_ge_5,share_profiles_denom_eq_0
BASELINE_90,8761,8692,0.9921241867366739,7853,0.8963588631434768,7024,0.8017349617623559,5615,0.6409085720808126,17.0,6.0,42.0,85.0,0.2650902812648142,0.2222222222222222,0.25030749073650393,0.2222222222222222,0.2407220090291048,0.21212121212121213,0.007875813263326105
FINAL_90,9762,9383,0.9611759885269412,7858,0.8049580004097521,6678,0.6840811309157959,4927,0.5047121491497644,10.0,3.0,28.0,65.0,0.16635754528272584,0.09027777777777778,0.14525742522115254,0.1,0.13401210652707646,0.1,0.0388240114730588
